Text;Intent
bật đèn lên;turn_on_light
mở đèn phòng khách;turn_on_light
bật đèn phòng ngủ;turn_on_light
cho sáng đèn lên;turn_on_light
bật đèn chính;turn_on_light
mở đèn bếp;turn_on_light
bật tất cả đèn;turn_on_light
mở đèn hành lang;turn_on_light
bật đèn bàn;turn_on_light
bật đèn học;turn_on_light
cho đèn sáng lên;turn_on_light
mở đèn phòng tôi;turn_on_light
bật đèn ngoài sân;turn_on_light
mở đèn phòng khách giúp tôi;turn_on_light
bật đèn lên đi;turn_on_light
bật đèn phòng khách lên;turn_on_light
mở đèn phòng ngủ đi;turn_on_light
bật hết đèn trong nhà bếp;turn_on_light
cho bật đèn phòng tắm;turn_on_light
mở đèn cầu thang lên;turn_on_light
bật đèn hành lang giúp tôi;turn_on_light
bật đèn sân vườn đi;turn_on_light
mở đèn ban công;turn_on_light
bật đèn phòng thờ lên;turn_on_light
mở đèn phòng làm việc;turn_on_light
bật đèn tủ bếp;turn_on_light
mở đèn chùm phòng ăn;turn_on_light
bật đèn đọc sách bên giường;turn_on_light
mở hết đèn tầng một;turn_on_light
bật đèn cảm biến ở cầu thang;turn_on_light
bạn có thể bật đèn giúp tôi không;turn_on_light
làm ơn mở đèn lên được không;turn_on_light
bạn bật đèn phòng khách giúp tôi nhé;turn_on_light
có thể cho đèn sáng lên không;turn_on_light
làm ơn bật đèn phòng ngủ;turn_on_light
bạn mở đèn giúp tôi được không;turn_on_light
bật đèn lên giùm tôi nhé;turn_on_light
có thể bật đèn ngoài sân không;turn_on_light
làm ơn mở đèn bếp;turn_on_light
bạn bật đèn lên giúp tôi;turn_on_light
làm ơn bật đèn phòng khách giúp tôi được không;turn_on_light
bạn có thể mở đèn phòng ngủ cho tôi không;turn_on_light
phiền anh bật đèn nhà bếp giúp em với ạ;turn_on_light
cho tôi hỏi, bật đèn phòng tắm được không;turn_on_light
làm ơn mở đèn hành lang giúp, tôi đi tối quá;turn_on_light
có thể bật đèn cầu thang lên được không;turn_on_light
bật đèn sân vườn giúp tôi nhé, cảm ơn;turn_on_light
bạn làm ơn bật đèn ban công dùm mình;turn_on_light
cho phép tôi nhờ bật đèn phòng thờ một lát;turn_on_light
xin hãy bật hết đèn ở phòng khách;turn_on_light
trời tối quá rồi, bật đèn phòng khách lên đi;turn_on_light
mẹ đang nấu ăn, bật đèn nhà bếp lên giúp con;turn_on_light
tối thế này không thấy đường, bật đèn cầu thang đi;turn_on_light
có khách đến chơi, bật đèn phòng khách lên cho sáng;turn_on_light
tôi đang tìm mắt kính, bật đèn bàn lên;turn_on_light
con sợ bóng tối, bật đèn phòng ngủ cho con;turn_on_light
sắp ăn tối rồi, bật đèn phòng ăn lên đi;turn_on_light
trời tối mà chưa bật đèn sân vườn, ra ngoài nguy hiểm;turn_on_light
mắt mỏi quá, bật đèn đọc sách lên;turn_on_light
chuẩn bị thắp hương, bật đèn phòng thờ đi;turn_on_light
trời tối quá, bật đèn lên đi;turn_on_light
không thấy gì cả, mở đèn giúp tôi;turn_on_light
phòng tối quá, bật đèn lên;turn_on_light
đang đọc sách, mở đèn giúp tôi;turn_on_light
tối rồi, bật đèn đi;turn_on_light
không đủ sáng, mở đèn lên;turn_on_light
đi lại khó quá, bật đèn giúp tôi;turn_on_light
trời sắp tối, mở đèn;turn_on_light
phòng thiếu ánh sáng, bật đèn;turn_on_light
mắt không nhìn rõ, bật đèn lên;turn_on_light
phòng tối quá nhỉ;turn_on_light
không thấy gì luôn;turn_on_light
tối quá;turn_on_light
sao tối vậy;turn_on_light
ánh sáng yếu quá;turn_on_light
nhìn không rõ gì cả;turn_on_light
chỗ này tối thật;turn_on_light
tối om luôn;turn_on_light
không có ánh sáng gì hết;turn_on_light
tối ghê;turn_on_light
tối quá, không nhìn thấy gì cả;turn_on_light
sao phòng khách tối om thế này;turn_on_light
trời ơi, tối như mực;turn_on_light
lại quên bật đèn cầu thang rồi;turn_on_light
ở đây tối quá, vướng chân bàn rồi;turn_on_light
phòng ngủ tối thui, con không dám vào;turn_on_light
lối đi mờ quá, có đèn không nhỉ;turn_on_light
màu tối thế này đọc sách sao được;turn_on_light
chỗ này tối quá, mấy giờ rồi trời;turn_on_light
tối quá, bà không thấy đường đâu;turn_on_light
tắt đèn;turn_off_light
tắt đèn phòng khách;turn_off_light
tắt hết đèn;turn_off_light
tắt đèn phòng ngủ;turn_off_light
tắt đèn đi;turn_off_light
tắt đèn chính;turn_off_light
tắt đèn bếp;turn_off_light
tắt đèn ngoài sân;turn_off_light
